id,object_id,content_type_id,tag_id
7335,2231,9,3280
12,5,9,16
13,5,9,14
14,5,9,15
15,5,9,18
16,6,9,16
17,6,9,20
18,6,9,14
19,6,9,15
20,7,9,16
21,7,9,14
22,7,9,22
23,7,9,15
24,8,9,16
25,8,9,24
26,8,9,14
27,8,9,15
28,9,9,16
29,9,9,26
30,9,9,14
31,9,9,15
32,10,9,16
33,10,9,26
34,10,9,28
35,10,9,14
36,10,9,15
37,11,9,32
38,11,9,33
39,11,9,30
40,12,9,33
41,12,9,30
42,13,9,35
43,13,9,36
44,14,9,37
45,15,9,40
46,15,9,42
47,15,9,38
48,16,9,44
49,16,9,46
50,17,9,48
51,17,9,50
52,17,9,52
53,17,9,22
54,18,9,53
55,18,9,55
56,19,9,56
57,19,9,58
58,20,9,59
59,20,9,61
60,21,9,63
61,22,9,64
62,23,9,66
63,23,9,68
64,23,9,70
65,24,9,72
66,24,9,68
67,24,9,70
68,25,9,68
69,25,9,74
70,25,9,76
71,25,9,70
72,26,9,77
73,26,9,79
74,27,9,80
75,28,9,82
76,28,9,83
77,28,9,85
78,27,9,86
79,29,9,86
80,29,9,87
81,30,9,88
82,30,9,86
83,31,9,90
85,31,9,86
86,32,9,90
87,32,9,86
88,32,9,94
89,33,9,96
90,33,9,90
92,33,9,86
93,34,9,97
94,34,9,86
95,35,9,99
96,35,9,100
97,35,9,86
98,36,9,104
99,36,9,99
100,36,9,100
101,36,9,86
102,36,9,102
103,37,9,99
104,37,9,106
105,37,9,107
106,37,9,86
107,38,9,32
108,38,9,99
109,38,9,100
110,38,9,109
111,38,9,86
112,39,9,113
113,39,9,86
114,39,9,111
115,40,9,113
116,40,9,86
117,40,9,111
118,41,9,115
119,41,9,117
120,42,9,86
121,42,9,118
122,43,9,120
123,43,9,86
124,44,9,122
125,44,9,124
126,45,9,125
127,45,9,86
128,45,9,127
129,46,9,129
130,46,9,86
131,47,9,58
132,47,9,131
133,47,9,133
134,47,9,86
135,48,9,32
136,48,9,137
137,48,9,86
138,48,9,135
139,49,9,32
140,49,9,26
141,49,9,86
142,50,9,58
143,50,9,86
144,51,9,58
145,51,9,139
146,51,9,86
147,52,9,26
148,52,9,141
149,52,9,86
150,53,9,144
151,53,9,146
152,53,9,143
153,54,9,147
154,55,9,147
155,56,9,147
156,57,9,149
157,58,9,151
158,59,9,153
159,59,9,155
160,60,9,40
161,60,9,157
162,60,9,159
163,61,9,161
164,61,9,163
165,61,9,165
166,62,9,169
167,62,9,171
168,62,9,167
169,63,9,173
170,64,9,173
171,64,9,175
172,65,9,58
173,65,9,44
174,66,9,176
175,66,9,35
176,67,9,178
177,68,9,180
178,68,9,182
179,69,9,184
180,70,9,186
183,71,9,190
184,72,9,194
185,72,9,196
186,72,9,198
187,73,9,200
188,73,9,171
189,73,9,198
190,74,9,202
191,74,9,198
192,75,9,204
193,75,9,198
194,75,9,206
195,76,9,208
196,76,9,210
197,76,9,212
198,76,9,214
199,77,9,208
200,77,9,216
201,77,9,210
202,77,9,212
204,79,9,208
205,79,9,210
206,79,9,212
207,80,9,208
208,80,9,218
209,80,9,212
210,81,9,208
211,81,9,212
212,81,9,220
213,82,9,70
214,82,9,222
215,83,9,224
216,83,9,70
217,83,9,222
218,84,9,226
219,84,9,228
220,84,9,230
221,85,9,232
222,85,9,234
223,86,9,236
224,86,9,238
225,87,9,240
226,87,9,241
227,87,9,234
228,88,9,243
229,88,9,245
231,90,9,249
232,90,9,251
233,90,9,245
234,91,9,234
235,91,9,253
236,92,9,257
237,92,9,234
238,92,9,255
239,93,9,259
240,94,9,26
241,94,9,255
242,96,9,261
243,96,9,263
244,97,9,243
245,95,9,265
247,95,9,269
248,98,9,271
249,99,9,273
250,99,9,271
251,100,9,275
252,100,9,271
253,101,9,271
254,103,9,277
255,103,9,46
256,103,9,279
257,102,9,281
258,102,9,283
259,102,9,285
260,104,9,279
261,104,9,46
262,104,9,287
263,102,9,289
264,105,9,44
265,105,9,46
266,105,9,279
267,106,9,297
268,106,9,291
269,106,9,293
270,106,9,295
271,107,9,299
273,108,9,109
275,109,9,303
277,110,9,305
278,110,9,306
