id,name,slug
16230,對手指,_5797
16231,zzz,zzz
16233,做體操,_5798
16237,洗頭,_5800
16238,https://emos.plurk.com/ab19262331ea20c53258ec209b3f42ed_w10_h18.png,httpsemosplurkcomab19262331ea20c53258ec209b3f42ed_w10_h18png
16239,https://emos.plurk.com/9e0df8e8b00b4758be8c59338b10c2fc_w10_h18.png,httpsemosplurkcom9e0df8e8b00b4758be8c59338b10c2fc_w10_h18png
16240,https://emos.plurk.com/bde10fd86fc314d731047047b8f44684_w10_h18.png,httpsemosplurkcombde10fd86fc314d731047047b8f44684_w10_h18png
16433,CP,cp
16241,https://emos.plurk.com/a9bdf1361132510f084ee6c7087747d8_w10_h18.png,httpsemosplurkcoma9bdf1361132510f084ee6c7087747d8_w10_h18png
16242,https://emos.plurk.com/748329e96ca0703c342b38ac4092cff3_w10_h18.png,httpsemosplurkcom748329e96ca0703c342b38ac4092cff3_w10_h18png
16243,https://emos.plurk.com/8d2e4312e33e1ce3cf81dab1ecd6500b_w10_h18.png,httpsemosplurkcom8d2e4312e33e1ce3cf81dab1ecd6500b_w10_h18png
16244,https://www.plurk.com/p/ns5zcd,httpswwwplurkcompns5zcd
16245,https://emos.plurk.com/446344b2724ddcd5fb4468fc94c8629d_w20_h20.gif,httpsemosplurkcom446344b2724ddcd5fb4468fc94c8629d_w20_h20gif
16246,https://emos.plurk.com/af498a0cd91965fc9970c247c2fb79c5_w20_h20.gif,httpsemosplurkcomaf498a0cd91965fc9970c247c2fb79c5_w20_h20gif
16247,https://emos.plurk.com/ca2c71ec38eeb43f1c0319ad66de6de4_w20_h20.gif,httpsemosplurkcomca2c71ec38eeb43f1c0319ad66de6de4_w20_h20gif
16248,https://emos.plurk.com/d54a3a1e19a4fe34cc4448c984eee6aa_w20_h20.gif,httpsemosplurkcomd54a3a1e19a4fe34cc4448c984eee6aa_w20_h20gif
16249,https://www.plurk.com/p/m8i6av,httpswwwplurkcompm8i6av
16250,https://www.plurk.com/p/mo5e0q,httpswwwplurkcompmo5e0q
16251,https://emos.plurk.com/304524214c13a4ef467259fe13c3d19a_w17_h15.gif,httpsemosplurkcom304524214c13a4ef467259fe13c3d19a_w17_h15gif
16252,https://emos.plurk.com/894e9382d9b88a0e3f56567323c31514_w17_h15.gif,httpsemosplurkcom894e9382d9b88a0e3f56567323c31514_w17_h15gif
16253,https://emos.plurk.com/b095a9126fe8e9104230981ff51158f3_w17_h15.gif,httpsemosplurkcomb095a9126fe8e9104230981ff51158f3_w17_h15gif
16254,https://emos.plurk.com/ff65382f35a034c0c145430c317f31d2_w17_h15.gif,httpsemosplurkcomff65382f35a034c0c145430c317f31d2_w17_h15gif
16255,https://emos.plurk.com/d0923d7b6a2d3b7b2255edcba98c87b4_w17_h15.gif,httpsemosplurkcomd0923d7b6a2d3b7b2255edcba98c87b4_w17_h15gif
16256,https://emos.plurk.com/a99c2441954768c7881bd94d20234df1_w17_h15.gif,httpsemosplurkcoma99c2441954768c7881bd94d20234df1_w17_h15gif
16565,女僕三角龍,_5840
16257,https://emos.plurk.com/a830f131f8169cf63fd7d6ca50606608_w17_h15.gif,httpsemosplurkcoma830f131f8169cf63fd7d6ca50606608_w17_h15gif
